Accel_x,Accel_y,Accel_z
-0.659,1.609,0.383
-0.593,1.54,0.364
-0.47,1.405,0.36
-0.411,1.274,0.36
-0.299,1.209,0.368
-0.186,1.086,0.37
-0.136,1.028,0.372
-0.04,0.922,0.373
0.01,0.809,0.369
0.097,0.76,0.371
0.162,0.682,0.374
0.19,0.654,0.386
0.218,0.691,0.393
0.217,0.674,0.362
0.233,0.925,0.572
0.292,0.857,0.666
0.173,0.994,0.783
0.093,1.059,0.827
0.096,1.137,0.981
0.104,1.096,1.036
0.073,1.08,1.057
0.063,1.047,1.071
0.13,0.987,1.099
0.125,0.898,0.968
0.113,0.913,1.056
0.192,0.823,1.015
0.169,0.772,0.93
0.201,0.725,0.909
0.204,0.619,0.89
0.2,0.586,0.847
0.212,0.529,0.846
0.238,0.422,0.835
0.233,0.369,0.804
0.21,0.378,0.766
0.205,0.407,0.793
0.224,0.311,0.788
0.203,0.325,0.806
0.175,0.366,0.829
0.167,0.368,0.876
0.139,0.366,0.901
0.115,0.376,0.949
0.098,0.381,0.98
0.101,0.332,1.014
0.086,0.31,1.053
0.086,0.321,1.066
0.089,0.277,1.105
0.1,0.258,1.125
0.119,0.19,1.155
0.178,0.147,1.18
0.244,0.05,1.19
0.268,0,1.212
0.303,-0.095,1.219
0.311,-0.17,1.23
0.318,-0.2,1.23
0.319,-0.229,1.229
0.316,-0.235,1.225
0.3,-0.234,1.221
0.264,-0.231,1.216
0.24,-0.227,1.203
0.194,-0.206,1.2
0.143,-0.158,1.195
0.123,-0.148,1.203
0.075,-0.132,1.205
0.064,-0.148,1.2
0.061,-0.168,1.18
0.056,-0.205,1.163
0.054,-0.249,1.115
0.054,-0.279,1.057
0.061,-0.317,1.027
0.059,-0.392,0.975
0.063,-0.409,0.925
0.061,-0.451,0.907
0.057,-0.494,0.872
0.048,-0.514,0.851
0.009,-1.08,0.936
0.013,-1.114,0.947
0.024,-1.14,0.953
0.041,-1.17,0.965
0.05,-1.184,0.968
0.071,-1.35,0.953
0.091,-1.289,0.932
0.109,-1.354,0.913
0.126,-1.416,0.906
0.135,-1.47,0.906
0.15,-1.49,0.909
0.176,-1.521,0.933
0.208,-1.557,0.964
0.223,-1.574,1.004
0.262,-1.606,1.022
0.286,-1.632,1.058
0.343,-1.644,1.094
0.408,-1.668,1.119
0.465,-1.694,1.127
0.489,-1.705,1.13
0.537,-1.718,1.126
0.58,-1.721,1.102
0.601,-1.719,1.057
0.645,-1.704,1.027
0.662,-1.673,0.961
0.697,-1.649,0.924
0.731,-1.575,0.855
0.743,-1.49,0.792
0.759,-1.439,0.76
0.765,-1.323,0.708
0.773,-1.262,0.668
0.78,-1.111,0.653
0.78,-0.916,0.649
0.777,-0.798,0.674
0.772,-0.555,0.696
0.763,-0.305,0.751
0.745,-0.066,0.815
0.741,0.043,0.885
0.756,0.298,0.938
0.765,0.37,0.955
0.764,0.52,0.955
0.733,0.625,0.955
0.663,0.907,0.953
0.61,1.074,0.945
0.449,1.45,0.936
0.349,1.76,0.912
0.129,2.011,0.885
0.014,2.319,0.838
-0.204,2.459,0.813
-0.434,2.688,0.786
-0.503,2.771,0.788
-0.695,2.876,0.805
-0.788,2.901,0.867
-0.947,2.884,0.9
-1.007,2.8,0.993
-1.095,2.835,1.17
-1.01,2.544,1.225
-1.138,2.594,1.114
-1.165,2.666,1.149
-1.114,2.508,1.151
-1.118,2.445,1.064
-1.105,2.326,1.023
-1.08,2.245,0.92
-1.068,2.086,0.84
-1.054,2.013,0.667
-1.016,1.978,0.566
-0.943,1.85,0.522
-0.923,1.769,0.448
-0.883,1.75,0.427
-0.812,1.618,0.319
-0.693,1.567,0.512
-0.556,1.514,0.458
-0.522,1.446,0.393
-0.407,1.249,0.379
-0.325,1.145,0.411
-0.183,1.116,0.447
0,0.964,0.508
0.061,0.896,0.569
0.14,0.798,0.583
0.17,0.762,0.625
0.234,0.717,0.637
0.259,0.713,0.669
0.309,0.713,0.693
0.318,0.734,0.726
0.318,0.789,0.793
0.291,0.987,0.855
0.268,1.091,0.989
0.217,1.228,1.054
0.194,1.32,1.181
0.138,1.356,1.285
0.069,1.407,1.33
0.033,1.421,1.386
-0.011,1.39,1.393
-0.028,1.285,1.36
-0.003,1.303,1.291
0.051,1.068,1.252
0.086,1.183,1.203
0.165,1.111,1.179
0.208,0.954,1.076
0.214,1.004,0.995
0.255,0.977,0.942
0.273,0.841,0.915
0.244,0.84,0.856
0.219,0.788,0.84
0.204,0.68,0.796
0.161,0.691,0.783
0.167,0.603,0.781
0.167,0.605,0.79
0.2,0.532,0.796
0.206,0.479,0.81
0.222,0.481,0.829
0.265,0.349,0.874
0.257,0.321,0.893
0.319,0.374,0.948
0.343,0.221,1.007
0.285,0.247,1.053
0.291,0.224,1.087
0.297,0.209,1.123
0.307,0.182,1.177
0.183,-0.964,0.901
0.179,-0.991,0.925
0.178,-1.019,0.974
0.178,-1.035,0.996
0.177,-1.049,1.044
0.173,-1.055,1.107
0.168,-1.059,1.14
0.164,-1.074,1.208
0.171,-1.089,1.367
0.194,-1.134,1.303
0.207,-1.163,1.355
0.234,-1.209,1.375
0.245,-1.361,1.397
0.255,-1.28,1.401
0.259,-1.315,1.388
0.267,-1.331,1.373
0.267,-1.354,1.323
0.29,-1.387,1.276
0.315,-1.421,1.238
0.373,-1.502,1.223
0.399,-1.575,1.19
0.429,-1.609,1.141
0.44,-1.659,1.108
0.449,-1.693,1.033
0.471,-1.708,0.995
0.612,-1.729,0.921
0.53,-1.761,0.834
0.554,-1.788,0.787
0.573,-1.81,0.699
0.618,-1.804,0.608
0.658,-1.796,0.512
0.7,-1.766,0.463
0.719,-1.707,0.375
0.76,-1.669,0.337
0.808,-1.579,0.274
0.83,-1.462,0.215
0.869,-1.389,0.165
0.909,-1.205,0.157
0.926,-0.978,0.165
0.953,-0.862,0.174
0.962,-0.61,0.191
0.972,-0.467,0.228
0.973,-0.14,0.251
0.964,0.31,0.317
0.915,0.531,0.364
0.874,1.038,0.482
0.745,1.274,0.546
0.579,1.707,0.65
0.496,1.892,0.736
