Accel_x,Accel_y,Accel_z
-0.429,-0.417,-0.276
-0.421,-0.448,-0.32
-0.399,-0.496,-0.367
-0.388,-0.511,-0.371
-0.382,-0.515,-0.36
-0.384,-0.528,-0.325
-0.385,-0.531,-0.275
-0.404,-0.526,-0.252
-0.432,-0.517,-0.205
-0.447,-0.518,-0.152
-0.476,-0.519,-0.103
-0.503,-0.514,-0.076
-0.528,-0.508,-0.072
-0.549,-0.506,-0.076
-0.556,-0.519,-0.088
-0.558,-0.525,-0.109
-0.56,-0.536,-0.119
-0.56,-0.545,-0.143
-0.55,-0.55,-0.172
-0.536,-0.558,-0.192
-0.244,0.376,-1.437
-0.172,0.423,-1.387
-0.152,0.473,-1.308
-0.175,0.515,-1.258
-0.226,0.566,-1.233
-0.26,0.582,-1.182
-0.257,0.591,-1.119
-0.249,0.588,-1.052
-0.365,0.48,-1.05
-0.301,0.521,-1.129
-0.237,0.567,-1.003
-0.235,0.548,-1.09
-0.235,0.526,-1.047
-0.246,0.518,-1.041
-0.257,0.496,-1.045
-0.251,0.476,-1.05
-0.227,0.442,-1.057
-0.213,0.433,-1.06
-0.178,0.44,-1.041
-0.169,0.445,-1.029
-0.175,0.477,-1.005
-0.194,0.504,-0.994
-0.207,0.552,-0.956
-0.227,0.57,-0.946
-0.236,0.583,-0.93
-0.253,0.593,-0.922
-0.261,0.618,-0.93
-0.268,0.646,-0.951
-0.275,0.65,-0.967
-0.268,0.647,-0.975
-0.262,0.623,-0.994
-0.26,0.602,-1.023
-0.255,0.595,-1.038
-0.245,0.59,-1.045
-0.233,0.58,-1.055
-0.226,0.567,-1.061
-0.198,0.564,-1.071
-0.175,0.554,-1.113
-0.171,0.549,-1.164
-0.164,0.537,-1.187
-0.14,0.493,-1.254
-0.121,0.444,-1.362
-0.095,0.427,-1.491
-0.078,0.398,-1.556
-0.077,0.341,-1.664
-0.084,0.311,-1.74
-0.082,0.302,-1.764
-0.063,0.303,-1.797
-0.026,0.303,-1.842
-0.015,0.316,-1.856
-0.007,0.359,-1.868
0.013,0.397,-1.865
0.021,0.487,-1.863
0.031,0.523,-1.871
0.019,0.572,-1.88
0.009,0.628,-1.902
0.003,0.666,-1.915
0.013,0.721,-1.923
0.009,0.732,-1.938
-0.006,0.744,-1.934
-0.001,0.773,-1.913
0.009,0.746,-1.862
0.055,0.67,-1.833
0.067,0.707,-1.786
0.091,0.692,-1.714
0.131,0.658,-1.66
0.141,0.63,-1.533
0.111,0.603,-1.326
0.068,0.529,-1.255
0.049,0.503,-1.054
0.021,0.466,-0.961
0.005,0.39,-0.791
-0.032,0.345,-0.63
-0.068,0.272,-0.569
-0.112,0.221,-0.491
-0.137,0.197,-0.435
-0.183,0.157,-0.413
-0.233,0.125,-0.369
-0.255,0.12,-0.298
-0.269,0.076,-0.255
-0.266,-0.004,-0.162
-0.273,-0.041,-0.111
-0.277,-0.112,-0.101
-0.259,-0.156,-0.095
-0.254,-0.156,-0.131
-0.246,-0.134,-0.143
-0.269,-0.159,-0.18
-0.282,-0.185,-0.185
-0.298,-0.192,-0.134
-0.334,-0.188,-0.109
-0.349,-0.178,-0.067
-0.386,-0.182,0.002
-0.421,-0.199,0.037
-0.435,-0.222,0.079
-0.467,-0.231,0.085
-0.502,-0.237,0.079
-0.547,-0.243,0.063
-0.563,-0.252,0.057
-0.568,-0.286,0.044
-0.561,-0.33,0.002
-0.54,-0.35,-0.06
-0.51,-0.387,-0.098
-0.478,-0.429,-0.178
-0.47,-0.472,-0.244
-0.455,-0.491,-0.272
-0.442,-0.518,-0.28
-0.437,-0.553,-0.283
-0.422,-0.575,-0.293
-0.412,-0.612,-0.295
-0.418,-0.625,-0.307
-0.45,-0.63,-0.296
-0.478,-0.648,-0.282
-0.492,-0.655,-0.249
-0.533,-0.651,-0.233
-0.57,-0.64,-0.222
-0.612,-0.638,-0.194
-0.63,-0.63,-0.192
-0.659,-0.621,-0.227
-0.676,-0.608,-0.241
0.049,0.266,-1.592
0.055,0.331,-1.58
0.06,0.366,-1.565
0.053,0.383,-1.551
0.032,0.395,-1.519
0.031,0.397,-1.489
0.039,0.26,-1.436
0.045,0.478,-1.392
0.056,0.343,-1.485
0.036,0.271,-1.334
0.064,0.209,-1.249
0.047,0.159,-1.225
0.054,0.197,-1.193
0.07,0.212,-1.158
0.05,0.222,-1.08
-0.027,0.226,-1.021
-0.07,0.238,-0.986
-0.084,0.24,-0.908
-0.118,0.229,-0.874
-0.155,0.214,-0.796
-0.168,0.202,-0.699
-0.2,0.176,-0.664
-0.214,0.133,-0.6
-0.237,0.114,-0.571
-0.256,0.071,-0.535
-0.271,0.043,-0.53
-0.298,-0.037,-0.513
-0.319,-0.058,-0.508
-0.326,-0.091,-0.506
-0.319,-0.121,-0.522
-0.297,-0.137,-0.568
-0.305,-0.175,-0.588
-0.304,-0.187,-0.626
-0.303,-0.204,-0.649
-0.303,-0.233,-0.643
-0.308,-0.253,-0.636
-0.316,-0.293,-0.614
-0.315,-0.301,-0.594
-0.313,-0.3,-0.566
-0.335,-0.321,-0.542
-0.349,-0.345,-0.481
-0.368,-0.354,-0.444
-0.382,-0.382,-0.431
-0.404,-0.401,-0.405
-0.423,-0.403,-0.381
-0.457,-0.411,-0.353
-0.466,-0.425,-0.343
-0.469,-0.432,-0.344
-0.489,-0.438,-0.354
-0.49,-0.466,-0.357
-0.481,-0.507,-0.387
-0.468,-0.522,-0.442
-0.45,-0.536,-0.474
-0.447,-0.543,-0.534
-0.447,-0.544,-0.574
-0.454,-0.552,-0.579
-0.46,-0.556,-0.55
-0.465,-0.557,-0.517
-0.479,-0.556,-0.502
-0.484,-0.553,-0.462
-0.495,-0.553,-0.431
-0.508,-0.547,-0.419
-0.52,-0.534,-0.404
-0.543,-0.534,-0.398
-0.547,-0.538,-0.397
-0.547,-0.542,-0.409
-0.561,-0.544,-0.436
-0.558,-0.551,-0.445
-0.552,-0.553,-0.447
-0.55,-0.555,-0.442
-0.562,-0.565,-0.44
-0.563,-0.557,-0.434
-0.571,-0.556,-0.423
-0.576,-0.557,-0.404
-0.578,-0.555,-0.378
-0.58,-0.553,-0.367
-0.579,-0.549,-0.347
-0.586,-0.547,-0.335
-0.596,-0.537,-0.335
-0.599,-0.525,-0.334
-0.603,-0.509,-0.324
-0.622,-0.501,-0.297
-0.638,-0.49,-0.277
-0.643,-0.471,-0.233
-0.651,-0.463,-0.204
-0.658,-0.448,-0.192
-0.656,-0.43,-0.178
-0.646,-0.423,-0.177
-0.638,-0.421,-0.199
-0.621,-0.419,-0.224
-0.604,-0.425,-0.238
-0.583,-0.427,-0.269
-0.568,-0.427,-0.303
-0.549,-0.424,-0.335
-0.538,-0.413,-0.352
-0.524,-0.407,-0.389
-0.509,-0.408,-0.44
-0.487,-0.407,-0.471
-0.475,-0.4,-0.525
-0.468,-0.403,-0.57
-0.448,-0.409,-0.588
-0.432,-0.42,-0.621
-0.424,-0.422,-0.643
-0.414,-0.42,-0.648
-0.395,-0.42,-0.655
-0.388,-0.427,-0.663
-0.377,-0.443,-0.662
-0.383,-0.45,-0.651
-0.385,-0.45,-0.634
-0.379,-0.44,-0.631
-0.377,-0.414,-0.638
-0.381,-0.397,-0.651
-0.392,-0.358,-0.662
-0.393,-0.327,-0.69
-0.388,-0.312,-0.722
-0.381,-0.286,-0.74
-0.373,-0.264,-0.782
-0.369,-0.236,-0.83
-0.353,-0.226,-0.875
-0.003,0.219,-1.774
-0.005,0.292,-1.754
-0.023,0.313,-1.708
-0.043,0.358,-1.667
-0.046,0.407,-1.582
-0.019,0.369,-1.535
-0.029,0.384,-1.501
-0.056,0.391,-1.437
-0.051,0.37,-1.39
-0.054,0.317,-1.312
-0.066,0.298,-1.148
-0.064,0.266,-1.186
-0.069,0.195,-1.12
-0.088,0.175,-1.055
-0.09,0.169,-1.022
-0.087,0.156,-0.972
-0.101,0.157,-0.957
-0.145,0.156,-0.924
-0.165,0.132,-0.859
-0.181,0.101,-0.831
-0.182,0.057,-0.777
-0.182,0.041,-0.72
-0.173,-0.018,-0.692
-0.168,-0.087,-0.641
-0.18,-0.111,-0.6
-0.211,-0.13,-0.581
-0.227,-0.154,-0.537
-0.257,-0.177,-0.492
-0.296,-0.183,-0.45
-0.322,-0.191,-0.427
-0.332,-0.211,-0.398
-0.343,-0.23,-0.399
-0.353,-0.259,-0.403
-0.36,-0.274,-0.405
-0.368,-0.292,-0.423
-0.381,-0.306,-0.44
-0.408,-0.286,-0.473
-0.415,-0.308,-0.46
-0.409,-0.337,-0.451
-0.405,-0.396,-0.464
-0.407,-0.413,-0.503
-0.424,-0.418,-0.544
-0.44,-0.435,-0.556
-0.448,-0.456,-0.546
-0.453,-0.477,-0.524
-0.444,-0.512,-0.511
-0.442,-0.528,-0.496
-0.453,-0.539,-0.484
-0.469,-0.556,-0.473
-0.492,-0.566,-0.454
-0.503,-0.577,-0.447
-0.515,-0.58,-0.462
-0.518,-0.577,-0.481
-0.521,-0.578,-0.5
-0.512,-0.58,-0.51
-0.509,-0.593,-0.528
-0.508,-0.599,-0.529
-0.497,-0.61,-0.522
-0.491,-0.616,-0.508
-0.489,-0.617,-0.497
-0.495,-0.612,-0.459
-0.492,-0.598,-0.412
-0.488,-0.589,-0.367
-0.492,-0.59,-0.329
-0.498,-0.58,-0.312
-0.504,-0.555,-0.288
-0.508,-0.545,-0.26
-0.515,-0.534,-0.244
-0.519,-0.525,-0.217
-0.517,-0.524,-0.205
-0.514,-0.512,-0.206
-0.523,-0.489,-0.22
-0.525,-0.482,-0.211
-0.517,-0.485,-0.201
-0.505,-0.492,-0.194
-0.501,-0.495,-0.2
-0.492,-0.493,-0.209
-0.485,-0.507,-0.22
-0.485,-0.516,-0.226
-0.483,-0.517,-0.217
-0.477,-0.521,-0.195
-0.472,-0.524,-0.179
-0.47,-0.521,-0.151
-0.469,-0.518,-0.141
-0.471,-0.499,-0.141
-0.483,-0.501,-0.141
-0.488,-0.504,-0.138
-0.49,-0.502,-0.149
-0.502,-0.497,-0.166
-0.51,-0.49,-0.171
-0.513,-0.491,-0.175
-0.52,-0.492,-0.178
-0.527,-0.49,-0.182
-0.533,-0.487,-0.196
-0.537,-0.489,-0.211
-0.534,-0.491,-0.232
-0.523,-0.491,-0.245
-0.513,-0.491,-0.272
-0.509,-0.49,-0.308
-0.507,-0.488,-0.328
-0.507,-0.482,-0.37
-0.507,-0.474,-0.419
-0.503,-0.458,-0.442
-0.496,-0.45,-0.488
-0.495,-0.446,-0.52
-0.496,-0.439,-0.538
-0.491,-0.415,-0.573
-0.488,-0.404,-0.603
-0.468,-0.409,-0.629
-0.436,-0.44,-0.64
-0.416,-0.463,-0.675
-0.404,-0.454,-0.702
-0.353,-0.444,-0.751
-0.324,-0.441,-0.782
-0.314,-0.467,-0.826
-0.31,-0.474,-0.834
-0.305,-0.473,-0.827
-0.323,-0.445,-0.8
-0.335,-0.434,-0.773
-0.146,0.496,-1.51
-0.161,0.46,-1.526
-0.154,0.518,-1.551
-0.156,0.537,-1.569
-0.159,0.538,-1.571
-0.159,0.529,-1.554
-0.162,0.511,-1.534
-0.157,0.489,-1.484
-0.13,0.459,-1.465
-0.123,0.399,-1.428
-0.12,0.253,-1.378
-0.103,0.309,-1.338
-0.089,0.231,-1.241
-0.067,0.208,-1.127
-0.042,0.192,-1.072
-0.03,0.144,-0.984
-0.032,0.121,-0.945
-0.066,0.086,-0.876
-0.093,0.072,-0.807
-0.143,0.043,-0.784
-0.165,0.02,-0.757
-0.216,-0.12,-0.733
-0.255,-0.037,-0.723
-0.271,-0.081,-0.716
-0.275,-0.103,-0.694
